Morph-lemma,Morph-inflection,Occurrence
の,の,6193
た,た,5364
は,は,5160
を,を,3946
に,に,3762
が,が,3665
て,て,3506
と,と,1903
だ,だ,1549
で,で,1459
する,し,1316
ない,ない,1278
も,も,1182
か,か,1087
だ,な,997
いる,い,931
いる,いる,741
です,です,728
から,から,709
そう,そう,701
よ,よ,666
こと,こと,601
う,う,552
ん,ん,550
ね,ね,534
れる,れ,523
その,その,462
私,私,449
言う,言っ,447
人,人,446
何,何,445
よう,よう,443
する,する,429
だ,だっ,395
な,な,359
僕,僕,358
ある,ある,353
わ,わ,348
それ,それ,346
剣,剣,338
彼女,彼女,316
ば,ば,313
だ,で,303
この,この,292
彼,彼,288
魔力,魔力,286
する,さ,255
クレア,クレア,252
いい,いい,244
そして,そして,233
ます,ます,228
これ,これ,225
たち,たち,223
ない,なかっ,222
あなた,あなた,222
だけ,だけ,214
目,目,206
なる,なっ,198
血,血,189
でも,でも,182
者,者,181
けど,けど,176
声,声,173
だ,だろ,173
二,二,172
顔,顔,169
いく,いく,168
一,一,165
アカネ,アカネ,165
どう,どう,164
じゃ,じゃ,163
です,でしょ,161
しかし,しかし,159
夜,夜,158
見る,見,157
って,って,152
お,お,151
中,中,151
た,たら,149
まで,まで,149
シド,シド,146
サラ,サラ,146
ある,あっ,144
生徒,生徒,142
ながら,ながら,142
世界,世界,140
られる,られ,135
誰,誰,135
ます,ませ,135
なる,なる,134
ます,まし,134
様,様,131
れる,れる,130
へ,へ,130
ない,なく,128
教団,教団,128
せる,せ,127
あの,あの,125
手,手,124
デルタ,デルタ,121
力,力,120
くる,き,117
という,という,116
どこ,どこ,113
さ,さ,112
できる,でき,111
かも,かも,110
少女,少女,109
だ,なら,108
君,君,108
そこ,そこ,108
さん,さん,108
ここ,ここ,106
霧,霧,106
前,前,105
もの,もの,105
方,方,105
まだ,まだ,102
アルファ,アルファ,102
１,１,102
魔,魔,100
そんな,そんな,99
伯爵,伯爵,99
気,気,97
はず,はず,97
え,え,95
もう,もう,95
あ,あ,94
学園,学園,92
三,三,92
話,話,92
家,家,92
母,母,92
ある,あり,90
騎士,騎士,90
ベータ,ベータ,89
今,今,88
しれる,しれ,88
ため,ため,87
ニーナ,ニーナ,87
ピエロ,ピエロ,87
てる,てる,86
団,団,86
男,男,86
はい,はい,84
姉さん,姉さん,83
お前,お前,82
思う,思っ,82
なんて,なんて,82
ただ,ただ,81
時,時,79
陰,陰,79
デ,デ,79
頭,頭,78
わかる,わから,78
０,０,78
カナ,カナ,78
王国,王国,77
実力,実力,77
全て,全て,77
剣士,剣士,76
王女,王女,76
十,十,76
父,父,75
扉,扉,75
いく,いっ,75
少し,少し,74
ほど,ほど,74
首輪,首輪,74
より,より,73
事件,事件,72
白い,白い,72
し,し,72
つもり,つもり,72
こんな,こんな,71
わけ,わけ,70
音,音,70
言葉,言葉,70
長,長,70
だから,だから,69
言う,言う,69
大丈夫,大丈夫,69
部屋,部屋,69
や,や,69
わかる,わかっ,69
俺,俺,68
先,先,67
首,首,65
かしら,かしら,65
として,として,65
瞬間,瞬間,64
体,体,64
できる,できる,64
のに,のに,63
いや,いや,63
なぜ,なぜ,63
くる,くる,62
とき,とき,62
司書,司書,62
出る,出,61
アイザック,アイザック,61
まさか,まさか,60
てる,て,59
しか,しか,59
ちょっと,ちょっと,58
ます,ましょ,58
知る,知っ,58
後,後,58
彼ら,彼ら,58
みたい,みたい,57
確か,確か,57
獣,獣,57
必要,必要,57
くれる,くれ,57
聞く,聞い,57
瞳,瞳,56
息,息,55
消える,消え,55
自分,自分,55
よく,よく,55
悪い,悪い,54
同じ,同じ,54
場,場,54
７,７,54
本,本,53
的,的,53
番,番,53
現れる,現れ,52
笑う,笑っ,52
背後,背後,52
まま,まま,52
意味,意味,52
考える,考え,52
姿,姿,52
大,大,51
視線,視線,51
あれ,あれ,51
子,子,51
ゲーテ,ゲーテ,51
られる,られる,50
日,日,50
呟く,呟い,50
やる,やっ,50
する,しよ,49
また,また,49
小さな,小さな,49
一つ,一つ,49
ので,ので,49
ところ,ところ,48
なる,なり,48
だが,だが,48
見える,見え,48
人間,人間,48
赤い,赤い,48
父様,父様,48
王,王,47
主,主,47
なさる,なさい,47
命,命,47
違う,違う,47
２,２,47
ぞ,ぞ,47
組織,組織,46
それで,それで,46
通り,通り,46
上,上,46
オリアナ,オリアナ,45
国,国,45
すぐ,すぐ,45
する,すれ,45
次,次,45
小さい,小さく,45
外,外,45
腕,腕,45
見る,見る,45
みる,み,45
くださる,ください,45
貴族,貴族,45
ホワイト,ホワイト,45
どうして,どうして,44
トランプ,トランプ,44
入る,入っ,44
我々,我々,44
時間,時間,44
濡れ,濡れ,44
思う,思う,43
もちろん,もちろん,43
絶対,絶対,43
右腕,右腕,43
やる,やる,43
来る,来る,43
たい,たい,43
黒い,黒い,43
証拠,証拠,43
ぬ,ず,43
母さん,母さん,43
ガ,ガ,42
出す,出し,42
です,でし,42
かける,かけ,42
来る,来,42
本当に,本当に,42
亡霊,亡霊,42
量,量,42
光,光,42
ああ,ああ,41
ありがとう,ありがとう,41
聞こえる,聞こえ,41
ジャ,ジャ,40
関係,関係,40
向ける,向け,40
気配,気配,40
待つ,待っ,40
存在,存在,40
年,年,40
吐く,吐い,39
知る,知ら,39
金,金,39
女,女,39
様子,様子,39
だって,だって,39
他,他,39
とか,とか,38
いつも,いつも,38
らしい,らしい,38
心配,心配,38
べし,べき,38
ホープ,ホープ,38
スペード,スペード,38
闇,闇,37
ローズ,ローズ,37
度,度,37
間違い,間違い,37
襲撃,襲撃,37
気づく,気づい,37
触手,触手,37
豹,豹,37
牙,牙,37
先輩,先輩,36
廊下,廊下,36
まるで,まるで,36
教室,教室,36
ため息,ため息,36
犯人,犯人,36
ゆっくり,ゆっくり,36
もし,もし,36
なる,なら,36
拘束,拘束,36
闘技,闘技,36
今日,今日,35
どういう,どういう,35
ま,ま,35
バカ,バカ,35
動き,動き,35
やはり,やはり,35
計画,計画,35
響く,響い,35
髪,髪,35
しまう,しまっ,35
わかる,わかる,35
悪魔,悪魔,35
しばらく,しばらく,34
ねぇ,ねぇ,34
せる,せる,34
えっ,えっ,34
感じる,感じ,34
口,口,34
いったい,いったい,34
室,室,34
いう,いえ,34
席,席,34
残,残,34
上げる,上げ,33
まぁ,まぁ,33
名,名,33
以上,以上,33
ベッド,ベッド,33
話す,話し,33
大きな,大きな,33
止める,止め,33
傷,傷,33
報告,報告,33
付ける,付け,33
死体,死体,33
ぬ,ぬ,32
奴ら,奴ら,32
既に,既に,32
相手,相手,32
空間,空間,32
問題,問題,32
震える,震え,32
くれる,くれる,32
足,足,32
同時に,同時に,32
万年筆,万年筆,32
なん,なん,31
裏,裏,31
落ちる,落ち,31
ある,あれ,31
万,万,31
一瞬,一瞬,31
さて,さて,31
戦い,戦い,31
弟,弟,31
死ぬ,死ん,31
理解,理解,31
書類,書類,31
不明,不明,30
たい,たく,30
強い,強く,30
窓,窓,30
うん,うん,30
カゲ,カゲ,30
ノー,ノー,30
持つ,持っ,30
ご,ご,30
せい,せい,30
殺す,殺さ,30
残る,残っ,30
言う,言い,30
そ,そ,29
件,件,29
床,床,29
下,下,29
ずっと,ずっと,29
嫌,嫌,29
心,心,29
性,性,29
現場,現場,29
いずれ,いずれ,29
壁,壁,29
結界,結界,29
など,など,28
噂,噂,28
調べる,調べ,28
場所,場所,28
そういう,そういう,28
立つ,立っ,28
派,派,28
強い,強い,28
にとって,にとって,28
早い,早く,28
英雄,英雄,28
動く,動く,28
我ら,我ら,28
によって,によって,28
笑み,笑み,28
数,数,28
ペ,ペ,28
トス,トス,28
普通,普通,27
全員,全員,27
よい,よかっ,27
寮,寮,27
七,七,27
そのまま,そのまま,27
全く,全く,27
深い,深い,27
見下ろす,見下ろし,27
忘れる,忘れ,27
ええ,ええ,27
たり,たり,27
都市,都市,27
少年,少年,27
永遠,永遠,27
技術,技術,27
異,異,27
終わる,終わっ,26
言う,言わ,26
教える,教え,26
背,背,26
一緒,一緒,26
ずつ,ずつ,26
倒れる,倒れ,26
理由,理由,26
ポチ,ポチ,26
姉,姉,26
慌てる,慌て,26
目的,目的,26
信じる,信じ,26
胸,胸,26
高級,高級,26
涙,涙,26
確認,確認,26
地下,地下,26
実験,実験,26
グレイ,グレイ,26
空,空,25
道,道,25
当然,当然,25
死,死,25
奴,奴,25
耳,耳,25
身,身,25
文字,文字,25
不思議,不思議,25
ぐらい,ぐらい,25
続ける,続け,25
いう,いう,25
戻る,戻っ,25
無駄,無駄,25
拳,拳,25
肩,肩,25
微笑む,微笑ん,25
き,き,25
四,四,24
く,っ,24
間,間,24
思う,思い,24
例,例,24
余裕,余裕,24
隠す,隠し,24
こちら,こちら,24
本気,本気,24
最高,最高,24
封印,封印,24
許す,許さ,24
右手,右手,24
さっき,さっき,24
隣,隣,24
危険,危険,24
そろそろ,そろそろ,24
使う,使っ,24
黒,黒,24
静か,静か,24
大きい,大きく,24
凄まじい,凄まじい,24
本当,本当,24
奥,奥,24
研究,研究,24
聖教,聖教,24
わざわざ,わざわざ,24
知識,知識,24
６,６,24
再び,再び,23
講堂,講堂,23
決して,決して,23
なるほど,なるほど,23
猫,猫,23
じっと,じっと,23
六,六,23
金色,金色,23
風,風,23
魔法,魔法,23
もしか,もしか,23
周囲,周囲,23
美しい,美しい,23
戦力,戦力,23
たった,たった,23
減る,減っ,23
みんな,みんな,22
陣,陣,22
刻む,刻ま,22
さらに,さらに,22
けれど,けれど,22
さすが,さすが,22
出す,出す,22
振る,振っ,22
邪魔,邪魔,22
用意,用意,22
戦闘,戦闘,22
こそ,こそ,22
紫,紫,22
禁書,禁書,22
ない,なけれ,22
伝説,伝説,22
行く,行く,22
エルフ,エルフ,22
五,五,21
日本,日本,21
こいつ,こいつ,21
指,指,21
入れる,入れ,21
必ず,必ず,21
突然,突然,21
進む,進ん,21
黒髪,黒髪,21
ら,ら,21
ボス,ボス,21
真似,真似,21
振り返る,振り返っ,21
消す,消し,21
仕事,仕事,21
表,表,21
色々,色々,21
二つ,二つ,21
結果,結果,21
可能,可能,21
染まる,染まっ,21
ダメ,ダメ,21
起きる,起き,21
続く,続い,21
族,族,21
いつ,いつ,21
使命,使命,21
最初,最初,21
皆,皆,21
レン,レン,21
入る,入る,20
ごめん,ごめん,20
悪,悪,20
昔,昔,20
すら,すら,20
漆黒,漆黒,20
少ない,少ない,20
資料,資料,20
寝る,寝,20
落ち着く,落ち着い,20
答える,答え,20
お願い,お願い,20
辺り,辺り,20
砕ける,砕け,20
距離,距離,20
戦う,戦っ,20
待つ,待て,20
向こう,向こう,20
暗黒,暗黒,20
助ける,助け,20
警戒,警戒,20
横,横,20
呼ぶ,呼ば,20
コーヒー,コーヒー,20
振る,振り,20
匹,匹,20
３,３,20
司祭,司祭,20
都,都,20
獲物,獲物,20
パイ,パイ,20
