Morph-lemma,Morph-inflection,Learning-status,Occurrence,File
の,の,unknown,3045,eminence-in-the-shadow-vol-5-JA-no-furigana.txt
た,た,known,2758,eminence-in-the-shadow-vol-5-JA-no-furigana.txt
は,は,known,2638,eminence-in-the-shadow-vol-5-JA-no-furigana.txt
を,を,unknown,2019,eminence-in-the-shadow-vol-5-JA-no-furigana.txt
が,が,learning,1897,eminence-in-the-shadow-vol-5-JA-no-furigana.txt
に,に,learning,1874,eminence-in-the-shadow-vol-5-JA-no-furigana.txt
て,て,unknown,1791,eminence-in-the-shadow-vol-5-JA-no-furigana.txt
と,と,known,910,eminence-in-the-shadow-vol-5-JA-no-furigana.txt
だ,だ,known,775,eminence-in-the-shadow-vol-5-JA-no-furigana.txt
で,で,unknown,729,eminence-in-the-shadow-vol-5-JA-no-furigana.txt
ない,ない,known,677,eminence-in-the-shadow-vol-5-JA-no-furigana.txt
する,し,unknown,654,eminence-in-the-shadow-vol-5-JA-no-furigana.txt
も,も,unknown,580,eminence-in-the-shadow-vol-5-JA-no-furigana.txt
か,か,known,566,eminence-in-the-shadow-vol-5-JA-no-furigana.txt
だ,な,unknown,511,eminence-in-the-shadow-vol-5-JA-no-furigana.txt
いる,い,unknown,480,eminence-in-the-shadow-vol-5-JA-no-furigana.txt
よ,よ,known,393,eminence-in-the-shadow-vol-5-JA-no-furigana.txt
そう,そう,known,386,eminence-in-the-shadow-vol-5-JA-no-furigana.txt
いる,いる,unknown,383,eminence-in-the-shadow-vol-5-JA-no-furigana.txt
から,から,unknown,359,eminence-in-the-shadow-vol-5-JA-no-furigana.txt
です,です,known,328,eminence-in-the-shadow-vol-5-JA-no-furigana.txt
ん,ん,known,327,eminence-in-the-shadow-vol-5-JA-no-furigana.txt
こと,こと,known,280,eminence-in-the-shadow-vol-5-JA-no-furigana.txt
れる,れ,unknown,273,eminence-in-the-shadow-vol-5-JA-no-furigana.txt
う,う,known,270,eminence-in-the-shadow-vol-5-JA-no-furigana.txt
ね,ね,known,260,eminence-in-the-shadow-vol-5-JA-no-furigana.txt
私,私,known,256,eminence-in-the-shadow-vol-5-JA-no-furigana.txt
言う,言っ,unknown,246,eminence-in-the-shadow-vol-5-JA-no-furigana.txt
その,その,learning,242,eminence-in-the-shadow-vol-5-JA-no-furigana.txt
僕,僕,known,240,eminence-in-the-shadow-vol-5-JA-no-furigana.txt
クレア,クレア,unknown,240,eminence-in-the-shadow-vol-5-JA-no-furigana.txt
よう,よう,unknown,235,eminence-in-the-shadow-vol-5-JA-no-furigana.txt
何,何,unknown,234,eminence-in-the-shadow-vol-5-JA-no-furigana.txt
する,する,known,231,eminence-in-the-shadow-vol-5-JA-no-furigana.txt
魔力,魔力,unknown,209,eminence-in-the-shadow-vol-5-JA-no-furigana.txt
人,人,unknown,207,eminence-in-the-shadow-vol-5-JA-no-furigana.txt
な,な,unknown,203,eminence-in-the-shadow-vol-5-JA-no-furigana.txt
だ,だっ,unknown,198,eminence-in-the-shadow-vol-5-JA-no-furigana.txt
ある,ある,known,175,eminence-in-the-shadow-vol-5-JA-no-furigana.txt
それ,それ,known,175,eminence-in-the-shadow-vol-5-JA-no-furigana.txt
わ,わ,unknown,168,eminence-in-the-shadow-vol-5-JA-no-furigana.txt
彼女,彼女,unknown,165,eminence-in-the-shadow-vol-5-JA-no-furigana.txt
この,この,unknown,145,eminence-in-the-shadow-vol-5-JA-no-furigana.txt
彼,彼,unknown,141,eminence-in-the-shadow-vol-5-JA-no-furigana.txt
ば,ば,unknown,139,eminence-in-the-shadow-vol-5-JA-no-furigana.txt
だ,で,unknown,138,eminence-in-the-shadow-vol-5-JA-no-furigana.txt
いい,いい,known,131,eminence-in-the-shadow-vol-5-JA-no-furigana.txt
する,さ,unknown,130,eminence-in-the-shadow-vol-5-JA-no-furigana.txt
